name;symbol;isincode;marketIdentificationCode
Anima Holding SpA;ANIM;IT0004998065;MTAA
Antalis;ANTA;FR0013258589;XPAR
Antevenio;ALANT;ES0109429037;XPAR
Antofagasta PLC;ANTO;GB0000456144;XLON
Aperam;AP;LU0569974404;XAMS
Applied Graphene Materials PLC;AGM;GB00BFSSB742;XLON
Applus Services SA;APPS;ES0105022000;XMAD
April;FR311969;FR0004037125;XPAR
Aptiv PLC;APTV;JE00B783TY65;XNYS
Aqua Bio Technology ASA;NO570150;NO0010307135;XOSL
Aquila;ALAQU;FR0010340711;XPAR
Arcadis;ARC;NL0006237562;XAMS
Arcandor AG;DU300015;DE0006275001;XETR
ArcelorMittal;MT;LU1598757687;XAMS
Archos;JXR;FR0000182479;XPAR
Arctic Paper SA;ARP;PLARTPR00012;XSTO
Arcure SA;ALCUR;FR0013398997;XPAR
Argenx SE;ARGX;NL0010832176;XBRU
Arise AB;ARISE;SE0002095604;XSTO
Arkema France;AKE;FR0010313833;XPAR
Arnoldo mondadori editore;MN;IT0001469383;MTAA
Aroundtown SA;AT1;LU1673108939;XETR
Arrow Global Group PLC;ARW;GB00BDGTXM47;XLON
Artea;ARTE;FR0012185536;XPAR
Artec Technologies AG;DU303260;DE0005209589;XETR
Artefact;ALATF;FR0000079683;XPAR
Artmarket.com;PRC;FR0000074783;XPAR
AS Roma SPA;ASR;IT0001008876;MTAA
Ascopiave SPA;ASC;IT0004093263;MTAA
Ashmore Group PLC;GB400149;GB00B132NW22;XLON
Ashtead Group PLC;AHT;GB0000536739;XLON
Asit Biotech SA;ASIT;BE0974289218;XBRU
Asknet AG Electronic Business Solutions;NWAY;DE000A2E3707;XETR
ASM International;ASM;NL0000334118;XAMS
ASML;ASL;NL0010273215;XAMS
ASML Holding NV -ADR-;ASML;USN070592100;XNAS
Asos PLC;GB400579;GB0030927254;XLON
ASR Nederland NV;ASRNL;NL0011872643;XAMS
Assa Abloy AB -B-;ASSAB;SE0007100581;XSTO
Associated British Food PLC;ABF;GB0006731235;XLON
Assystem;ASY;FR0000074148;XPAR
AST Groupe;ASP;FR0000076887;XPAR
Astaldi SpA;AST;IT0003261069;MTAA
ASTM SpA;AT;IT0000084027;MTAA
Aston Martin Lagonda Global Holdings PLC;AML;GB00BFXZC448;XLON
AstraZeneca PLC;SE560023;GB0009895292;XSTO
Astrazeneca Plc.  -ADR-;AZN;US0463531089;XNYS
Atari;ATA;FR0010478248;XPAR
Atea ASA;NO570172;NO0004822503;XOSL
ATEME SA;ATEME;FR0011992700;XPAR
Atenor;BE320209;BE0003837540;XBRU
Atlantia SpA;ATL;IT0003506190;MTAA
Atlantica Yield plc;AY;GB00BLP5YB54;XNAS
Atlas Copco AB -A-;ATCOA;SE0011166610;XSTO
Atos;ATO;FR0000051732;XPAR
Atoss Software;DU300947;DE0005104400;XETR
Atresmedia Corporacion de Medios de Com;A3M;ES0109427734;XMAD
Aubay;AUB;FR0000063737;XPAR
AUDI AG;DU300967;DE0006757008;XETR
Audiovalley SA;ALAVY;BE0974334667;XPAR
Augros Cosmetic Packaging;FR311048;FR0000061780;XPAR
Aumann AG;AAG;DE000A2DAM03;XETR
Auplata Mining Group;ALAMG;FR0013410370;XPAR
Aurea SA;AURE;FR0000039232;XPAR
Aurelius Equity Opportunities;DU301732;DE000A0JK2A8;XETR
Aures Technologies;AURST;FR0013183589;XPAR
Aurubis AG;DU300672;DE0006766504;XETR
Austevoll Seafood;NO570071;NO0010073489;XOSL
Austria Technologie & Systemtechnik AG;ATS;AT0000969985;XWBO
Auto Trader Group PLC;AUTO;GB00BVYVFW23;XLON
Autogrill SpA;AGL;IT0001137345;MTAA
Avantium Holding;AVTX;NL0012047823;XAMS
Avenir Telecom;AVT;FR0000066052;XPAR
Avio SpA;AVIO;IT0005119810;MTAA
Aviva PLC;AV/;GB0002162385;XLON
Avocet Mining PLC;AVM;GB00BZBVR613;XLON
Awilco Drilling PLC;AWDR;GB00B5LJSC86;XOSL
AwoX SA;AWOX;FR0011800218;XPAR
AXA SA;CS;FR0000120628;XPAR
Axel Springer SE;SPR;DE0005501357;XETR
Axway Software SA;AXW;FR0011040500;XPAR
Azimut Holding SpA;AZM;IT0003261697;MTAA
Azkoyen;ES340061;ES0112458312;XMAD
B.I.C.;BB;FR0000120966;XPAR
B&C Speakers SpA;BEC;IT0001268561;MTAA
B&M European Value Retail SA;BME;LU1072616219;XLON
B+S Banksysteme AG;DU300429;DE0001262152;XETR
Baader Bank AG;DU300973;DE0005088108;XETR
Babcock International Group PLC;BAB;GB0009697037;XLON
Baccarat;BCRA;FR0000064123;XPAR
BAE Systems PLC;BA;GB0002634946;XLON
Baikowski SAS;ALBKK;FR0013384369;XPAR
Balta Group;BALTA;BE0974314461;XBRU
Balyo SA;BALYO;FR0013258399;XPAR
BAM;BAM;NL0000337319;XAMS
Banca Carige SpA;CRG;IT0005108763;MTAA
Banca Farmafactoring SpA;BFF;IT0005244402;MTAA
Banca Ifis SpA;IF;IT0003188064;MTAA
Banca Monte dei Paschi di Siena;BMPS;IT0005218752;MTAA
Banca Sistema SpA;BST;IT0003173629;MTAA
Banco Bilbao Vizcaya Argentaria SA;BBVA;ES0113211835;XMAD
Banco BPM SpA;BAMI;IT0005218380;MTAA
Banco de Sabadell SA;SAB;ES0113860A34;XMAD
Banco Desio e della Brianza;BDB;IT0001041000;MTAA
Banco Santander SA;SAN;ES0113900J37;XMAD
Banco Santander SA -ADR-;SAN;US05964H1059;XNYS
Bango PLC;GB400934;GB00B0BRN552;XLON
Bank of Ireland Group PLC (EUR);BIRG;IE00BD1RP616;XLON
Bankia SA;BKIA;ES0113307062;XMAD
Bankinter SA;BKT;ES0113679I37;XMAD
Barbara Bui;BUI;FR0000062788;XPAR
Barclays Bank PLC -ADR-;BCS;US06738E2046;XNYS
Barclays PLC;BARC;GB0031348658;XLON
Barco NV;BAR;BE0003790079;XBRU
Baron de Ley SA;BDL;ES0114297015;XMAD
Barratt Developments PLC;BDEV;GB0000811801;XLON
BASF SE;BAS;DE000BASF111;XETR
Basic-Fit NV;BFIT;NL0011872650;XAMS
Basicnet SpA;BAN;IT0001033700;MTAA
Basler AG;DU300417;DE0005102008;XETR
Bassac SA;BASS;FR0004023208;XPAR
Bastide Le Confort Medical;BLC;FR0000035370;XPAR
Batla Minerals;MLBAT;FR0010436170;XPAR
Bauer AG;DU301016;DE0005168108;XETR
Bavaria Industriekapital AG;DU301513;DE0002605557;XETR
BAWAG Group AG;BG;AT0000BAWAG2;XWBO
Bayer AG;BAYN;DE000BAY0017;XETR
BAYWA  AG;DU301220;DE0005194062;XETR
BBGI Sicav;BBGI;LU0686550053;XLON
BCP Banco Comercial Portugues;BCP;PTBCP0AM0015;XLIS
BD Multimedia;ALBDM;FR0000035305;XPAR
BE Semiconductor Industries;BESI;NL0012866412;XAMS
BE SpA;BET;IT0001479523;MTAA
Beate-Uhse;DU300050;DE0007551400;XETR
Bechtle AG;DU300948;DE0005158703;XETR
Beghelli SpA;BE;IT0001223277;MTAA
Beiersdorf AG;BEI;DE0005200000;XETR
Bekaert;BEK;BE0974258874;XBRU
BEL Sarl;FR310990;FR0000121857;XPAR
Bellway PLC;BWY;GB0000904986;XLON
Beluga;BE320389;BE0003723377;XBRU
Beneteau;BEN;FR0000035164;XPAR
Berkeley Group Holdings (The) PLC;BKG;GB00B02L3W35;XLON
Bernard Loiseau SA;ALDBL;FR0000066961;XPAR
Bertrandt AG;DU301515;DE0005232805;XETR
bet-at-home.com AG;DU301578;DE000A0DNAY5;XETR
Beter Bed Holding;BBED;NL0000339703;XAMS
Bialetti Industrie SpA;BIA;IT0004222102;MTAA
Biancamano SpA;BCM;IT0004095888;MTAA
Biesse SpA;BSS;IT0003097257;MTAA
Big Yellow Group PLC;BYG;GB0002869419;XLON
Bigben Interactive;BIG;FR0000074072;XPAR
Bijou Brigitte Modi Access;DU300573;DE0005229504;XETR
Bilendi;FR310524;FR0004174233;XPAR
Bilfinger SE;DU300331;DE0005909006;XETR
Bio-On S.p.A.;ON;IT0005056236;XAIM
BIO-UV Group;ALTUV;FR0013345493;XPAR
Biocartis NV;BCART;BE0974281132;XBRU
Biocorp;ALCOR;FR0012788065;XPAR
Biofrontera AG;DU301332;DE0006046113;XETR
Biom Up SA;BUP;FR0013284080;XPAR
BioMerieux;BIM;FR0013280286;XPAR
Biophytis;ALBPS;FR0012816825;XPAR
Biosearch SA;BIO;ES0172233118;XMAD
Biosynex;ALBIO;FR0011005933;XPAR
Biotechnology Research & Info Network;BNN;DE0005203947;XETR
Biotest AG.;BIO;DE0005227201;XETR
Bitcoin Group SE;ADE;DE000A1TNV91;XETR
BlackRock World Mining Tst PLC;GB400225;GB0005774855;XLON
Bloomsbury Publishing PLC;GB400156;GB0033147751;XLON
Blue Prism Group PLC;PRSM;GB00BYQ0HV16;XLON
Blue Solutions SA;BLUE;FR0011592104;XPAR
Bluelinea SA;ALBLU;FR0011041011;XPAR
BMW AG;BMW;DE0005190003;XETR
BNP Paribas SA;BNP;FR0000131104;XPAR
Bodegas Riojanas SA;ES340161;ES0115002018;XMAD
